,ISBN,category_id
0,0195153448,1
1,0195153448,2
2,0002005018,3
3,0002005018,2
4,0060973129,4
5,0060973129,5
6,0060973129,6
7,0374157065,7
8,0374157065,8
9,0393045218,9
10,0393045218,10
11,0393045218,2
12,0399135782,3
13,0399135782,11
14,0425176428,12
15,0425176428,2
16,0671870432,13
17,0671870432,14
18,0671870432,2
19,0679425608,12
20,0679425608,2
21,074322678X,15
22,074322678X,2
23,0771074670,16
24,0771074670,17
25,0771074670,18
26,080652121X,15
27,080652121X,19
28,0887841740,9
29,0887841740,2
30,1552041778,15
31,1552041778,20
32,1558746218,9
33,1558746218,21
34,1567407781,22
35,1575663937,9
36,1575663937,23
37,1881320189,3
38,1881320189,24
39,0440234743,3
40,0440234743,2
41,0452264464,22
42,0609804618,22
43,1841721522,25
44,1841721522,26
45,1879384493,27
46,1879384493,28
47,1879384493,2
48,0061076031,3
49,0061076031,29
50,0439095026,27
51,0439095026,2
52,0689821166,22
53,0971880107,30
54,0971880107,31
55,0345402871,32
56,0345402871,2
57,0345417623,25
58,0345417623,33
59,0345417623,2
60,0684823802,15
61,0684823802,2
62,0375759778,30
63,0375759778,34
64,0375759778,35
65,0425163091,15
66,0425163091,36
67,0425163091,2
68,3404921038,3
69,3404921038,37
70,3442353866,12
71,3442353866,38
72,3442353866,2
73,3442410665,15
74,3442410665,19
75,3442446937,25
76,3442446937,2
77,0375406328,15
78,0375406328,39
79,0375406328,40
80,0446310786,4
81,0446310786,5
82,0446310786,6
83,0449005615,41
84,0449005615,2
85,0060168013,42
86,0060168013,43
87,0060168013,44
88,038078243X,30
89,038078243X,34
90,038078243X,2
91,055321215X,45
92,055321215X,46
93,067176537X,25
94,067176537X,2
95,0061099686,1
96,0061099686,47
97,0061099686,2
98,0553582909,48
99,0553582909,49
100,0553582909,2
101,0671888587,22
102,0553582747,50
103,0553582747,51
104,0425182908,22
105,042518630X,52
106,042518630X,53
107,042518630X,54
108,0440223571,3
109,0440223571,55
110,0812523873,56
111,0812523873,57
112,0812523873,58
113,0842342702,59
114,0842342702,60
115,0842342702,61
116,0440225701,22
117,0060914068,62
118,0060914068,63
119,0060914068,2
120,0156047624,22
121,0245542957,27
122,0245542957,64
123,0245542957,65
124,0380715899,15
125,0380715899,66
126,0553280333,27
127,0553280333,28
128,0553280333,67
129,0961769947,41
130,0961769947,68
131,0964778319,16
132,0964778319,69
133,0964778319,2
134,0671623249,4
135,0671623249,5
136,0671623249,6
137,0679810307,70
138,0679810307,2
139,0679865691,25
140,0679865691,2
141,2070423204,25
142,2070423204,71
143,0345260317,59
144,0345260317,72
145,0394743741,15
146,0394743741,20
147,042511774X,15
148,042511774X,2
149,0804106304,25
150,0804106304,71
151,1853262404,73
152,1853262404,2
153,0312970242,50
154,0312970242,74
155,1853260053,22
156,1414035004,1
157,1414035004,47
158,1414035004,2
159,0060938412,27
160,0060938412,2
161,0140067477,15
162,0140067477,39
163,0140067477,2
164,0345465083,75
165,0345465083,76
166,0345465083,77
167,0451625889,32
168,0451625889,78
169,1558531025,22
170,0441783589,15
171,0441783589,66
172,0394895894,56
173,0394895894,2
174,1569871213,15
175,1569871213,79
176,1569871213,80
177,1569871213,2
178,0375410538,25
179,0375410538,81
180,0375410538,2
181,0966986105,15
182,0966986105,20
183,087113375X,15
184,087113375X,2
185,0340767936,12
186,0340767936,2
187,0743403843,73
188,0743403843,2
189,0060930365,82
190,0060930365,83
191,0060177586,3
192,0060177586,84
193,0071416331,16
194,0071416331,85
195,0071416331,86
196,0071416331,2
197,0375509038,70
198,0375509038,2
199,0553062042,22
200,0316769487,22
201,8445071408,15
202,8445071408,2
203,8445071769,30
204,8445071769,87
205,8445071777,50
206,8445071777,2
207,0679429220,22
208,0671867156,3
209,0671867156,11
210,0312252617,15
211,0312252617,88
212,0312252617,89
213,0312261594,90
214,0312261594,2
215,0316748641,91
216,0316748641,92
217,0316748641,93
218,0316973742,94
219,0316973742,95
220,0316973742,96
221,0385235941,7
222,0385235941,2
223,0446677450,56
224,0446677450,31
225,0451166892,3
226,0451166892,97
227,0553347594,98
228,0553347594,39
229,0553347594,2
230,0671621009,15
231,0671621009,36
232,0671621009,2
233,067976397X,75
234,067976397X,2
235,0684822733,15
236,0684822733,2
237,0786868716,15
238,0786868716,79
239,0786868716,2
240,8472238822,56
241,8472238822,99
242,8472238822,100
243,0671864769,9
244,0671864769,101
245,0671864769,2
246,0671521519,15
247,0671521519,36
248,0671521519,2
249,0440222303,102
250,0440222303,69
251,0440222303,103
252,0440222303,104
253,0440222303,105
254,0440222303,106
255,0440222303,107
256,0440222303,108
257,0312953453,70
258,0312953453,109
259,0312953453,110
260,0312953453,2
261,0446608653,15
262,0446608653,2
263,0446612545,22
264,0446612618,22
265,0451208080,12
266,0451208080,111
267,0451208080,112
268,0553584383,1
269,0553584383,47
270,0553584383,2
271,0671027360,15
272,0671027360,66
273,0812575954,113
274,0812575954,2
275,0316735736,15
276,0316735736,36
277,0316735736,2
278,0743439740,32
279,0743439740,114
280,0345372700,98
281,0345372700,109
282,0345372700,2
283,0380619458,98
284,0380619458,115
285,0380619458,2
286,0446325805,116
287,0446325805,2
288,0451406923,15
289,0451406923,2
290,0671042858,117
291,0671042858,118
292,0671042858,119
293,0743249992,3
294,0743249992,120
295,0743249992,121
296,0743249992,122
297,0840734530,9
298,0840734530,123
299,0425184226,52
300,0425184226,109
301,0425184226,110
302,0425184226,2
303,0375500766,75
304,0375500766,76
305,0375500766,124
306,9724119378,56
307,9724119378,125
308,0451205197,15
309,0451205197,36
310,0451205197,2
311,0060929790,56
312,0060929790,2
313,0060976845,56
314,0060976845,2
315,0061099325,15
316,0061099325,66
317,0671004573,52
318,0671004573,126
319,0446601640,15
320,0446601640,127
321,0330484516,4
322,0330484516,5
323,0330484516,6
324,038572179X,30
325,038572179X,128
326,038572179X,129
327,0393020371,16
328,0393020371,85
329,0393020371,130
330,1900850303,113
331,1900850303,131
332,1903019699,91
333,1903019699,2
334,0345425294,15
335,0345425294,2
336,0451410319,15
337,0451410319,2
338,0553583468,90
339,0553583468,2
340,8420639133,41
341,8420639133,132
342,8476409419,4
343,8476409419,5
344,8476409419,133
345,0380778556,15
346,0380778556,79
347,0380778556,40
348,0451525221,16
349,0451525221,2
350,0002740230,15
351,0002740230,115
352,0002740230,2
353,0385336772,25
354,0385336772,134
355,0385336772,135
356,0440949424,41
357,0440949424,2
358,0505524996,9
359,0505524996,101
360,0505524996,2
361,0140252800,136
362,0140252800,137
363,0140252800,138
364,0451452755,9
365,0451452755,101
366,0451452755,139
367,0812575482,90
368,0812575482,140
369,0812575482,141
370,044651747X,1
371,044651747X,2
372,0060801263,142
373,0060801263,143
374,0060801263,144
375,0061030147,16
376,0061030147,2
377,0140250964,3
378,0140250964,145
379,0446527165,22
380,0671461494,50
381,0671461494,146
382,0385337639,9
383,0385337639,147
384,039575514X,22
385,0451206673,59
386,0451206673,60
387,0451206673,2
388,0330332775,3
389,0330332775,148
390,0486284735,70
391,0486284735,149
392,0671021745,150
393,0671021745,151
394,0671047612,15
395,0671047612,36
396,0671047612,152
397,0671504282,102
398,0671504282,153
399,0671504282,2
400,0399138684,22
401,0785263292,12
402,0785263292,154
403,0830714014,155
404,0830714014,156
405,0345354931,155
406,0345354931,157
407,0345354931,158
408,0345354931,159
409,0345354931,160
410,0345354931,161
411,0553278223,50
412,0553278223,162
413,3150000335,22
414,3257203659,9
415,3257203659,163
416,3257207522,117
417,3257207522,2
418,3257208626,98
419,3257208626,39
420,3257208626,2
421,3257208634,15
422,3257208634,164
423,3257208669,15
424,3257208669,2
425,3257210450,165
426,3257210450,166
427,3257210450,167
428,3257212054,155
429,3257212054,157
430,3257212054,158
431,3257212054,159
432,3257212054,160
433,3257212054,161
434,3257212429,168
435,3257212429,169
436,3257214154,98
437,3257214154,39
438,3257214154,2
439,3257216416,73
440,3257216416,2
441,3257233051,15
442,3257233051,39
443,3257233051,2
444,342311360X,50
445,342311360X,170
446,342311360X,171
447,3423116714,4
448,3423116714,172
449,3423241489,98
450,3423241489,164
451,3426605686,59
452,3426605686,173
453,3453212150,9
454,3453212150,123
455,3462021095,174
456,3462021095,31
457,3492045642,102
458,3492045642,69
459,3492045642,175
460,3492045642,176
461,3492045642,177
462,3492045642,178
463,3492045642,179
464,3492045642,180
465,3492045642,181
466,3492045642,182
467,3492045642,183
468,3492045642,184
469,3498020862,52
470,3498020862,185
471,3498020862,186
472,3499110695,56
473,3499110695,187
474,3499110695,188
475,3499151502,15
476,3499151502,164
477,3518111000,25
478,3518111000,71
479,3548254268,41
480,3548254268,68
481,3570300099,22
482,3596292646,13
483,3596292646,189
484,0060977493,9
485,0060977493,190
486,0060977493,2
487,0312872682,50
488,0312872682,191
489,0316602906,16
490,0316602906,2
491,0316693006,102
492,0316693006,69
493,0316693006,192
494,0316693006,193
495,0316693006,194
496,0316693006,195
497,0345311396,50
