,reservation_id,copy_id,position_in_queue
0,1,4867,1
1,1,2410,1
2,1,4181,1
3,2,2193,1
4,2,3705,1
5,3,2011,1
6,3,4885,1
7,3,1346,1
8,4,4042,1
9,5,4102,1
10,5,2885,1
11,5,2006,1
12,6,4913,1
13,6,2775,1
14,6,1211,1
15,7,3910,1
16,7,2327,1
17,7,4968,1
18,8,4674,1
19,8,1300,1
20,8,1892,1
21,9,2621,1
22,9,3573,1
23,10,1754,1
24,10,4843,1
25,11,3040,1
26,11,2497,1
27,12,2798,1
28,12,4956,1
29,13,4953,1
30,13,3811,1
31,14,1197,1
32,15,4347,1
33,15,3114,1
34,15,170,1
35,16,2477,1
36,16,2195,1
37,16,1364,1
38,17,4822,1
39,17,2205,1
40,18,3467,1
41,19,4652,1
42,19,3303,1
43,19,2014,1
44,20,3049,1
45,20,799,1
46,21,4902,1
47,21,2672,1
48,22,2187,1
49,23,4484,1
50,23,1361,1
51,24,994,1
52,24,2232,1
53,24,1813,1
54,25,2489,1
55,25,1593,1
56,25,4642,1
57,26,4585,1
58,27,3077,1
59,27,2697,1
60,28,4500,1
61,29,3195,1
62,30,4603,1
63,31,1024,1
64,31,2018,1
65,32,285,1
66,32,323,1
67,32,1245,1
68,33,4175,1
69,33,4719,1
70,33,284,1
71,34,3628,1
72,34,4291,1
73,34,498,1
74,35,1123,1
75,35,4564,1
76,36,4383,1
77,36,4166,1
78,36,1583,1
79,37,1402,1
80,37,4534,1
81,38,742,1
82,38,1384,1
83,38,15,1
84,39,526,1
85,39,845,1
86,39,4679,1
87,40,985,1
88,40,4062,1
89,41,860,1
90,42,4016,1
91,42,2854,1
92,43,4704,1
93,43,4997,1
94,43,1015,1
95,44,4168,1
96,44,4193,1
97,44,4124,1
98,45,1250,1
99,45,320,1
100,46,3174,1
101,46,4777,1
102,46,3657,1
103,47,4380,1
104,48,2405,1
105,48,864,1
106,48,2002,1
107,49,1235,1
108,49,975,1
109,49,628,1
110,50,1687,1
111,50,3520,1
112,50,2245,1
113,51,2107,1
114,52,956,1
115,52,932,1
116,53,1775,1
117,53,16,1
118,53,2986,1
119,54,4171,1
120,54,2280,1
121,54,2002,2
122,55,928,1
123,56,314,1
124,56,415,1
125,56,4378,1
126,57,641,1
127,57,3129,1
128,57,2283,1
129,58,116,1
130,59,1973,1
131,59,4634,1
132,59,3404,1
133,60,4367,1
134,61,1557,1
135,61,1366,1
136,62,2196,1
137,62,1418,1
138,63,4059,1
139,63,740,1
140,64,125,1
141,64,2936,1
142,65,4631,1
143,65,2832,1
144,66,2436,1
145,67,2342,1
146,68,2212,1
147,68,1410,1
148,69,2953,1
149,69,1537,1
150,70,3501,1
151,70,4097,1
152,71,695,1
153,71,3688,1
154,72,3497,1
155,73,428,1
156,73,4358,1
157,73,4194,1
158,74,1439,1
159,75,4753,1
160,76,96,1
161,76,1918,1
162,76,4219,1
163,77,3634,1
164,78,1131,1
165,78,2567,1
166,79,3214,1
167,79,2049,1
168,80,3049,2
169,80,1910,1
170,81,309,1
171,81,7,1
172,81,4777,2
173,82,4458,1
174,83,1789,1
175,83,380,1
176,83,671,1
177,84,3425,1
178,84,1193,1
179,85,312,1
180,85,4461,1
181,86,4954,1
182,87,1695,1
183,87,2895,1
184,87,2568,1
185,88,2922,1
186,88,4811,1
187,88,599,1
188,89,1756,1
189,89,3192,1
190,90,3198,1
191,90,479,1
192,91,3914,1
193,92,61,1
194,92,1501,1
195,93,2725,1
196,93,904,1
197,93,1821,1
198,94,2425,1
199,94,1839,1
200,94,1403,1
201,95,1586,1
202,95,1633,1
203,95,639,1
204,96,1032,1
205,96,832,1
206,96,1344,1
207,97,2180,1
208,98,986,1
209,99,4342,1
210,99,2912,1
211,100,4226,1
212,100,2636,1
213,100,1587,1
214,101,2476,1
215,101,238,1
216,101,1877,1
217,102,3706,1
218,102,379,1
219,102,1881,1
220,103,947,1
221,104,3793,1
222,104,1719,1
223,104,4647,1
224,105,3566,1
225,105,513,1
226,106,2413,1
227,106,473,1
228,107,4822,2
229,108,328,1
230,109,91,1
231,109,3233,1
232,109,4121,1
233,110,748,1
234,110,1434,1
235,111,3625,1
236,112,3013,1
237,112,3590,1
238,112,2279,1
239,113,2858,1
240,113,3802,1
241,114,2059,1
242,114,2588,1
243,114,827,1
244,115,469,1
245,115,4651,1
246,116,1462,1
247,116,2537,1
248,116,2460,1
249,117,4754,1
250,117,2771,1
251,118,2528,1
252,119,143,1
253,119,1845,1
254,120,3135,1
255,120,25,1
256,120,3146,1
257,121,3532,1
258,122,1553,1
259,122,1991,1
260,123,1426,1
261,123,1006,1
262,123,2584,1
263,124,1578,1
264,125,863,1
265,125,1574,1
266,126,1170,1
267,126,1713,1
268,126,4776,1
269,127,3574,1
270,127,861,1
271,128,2870,1
272,129,2760,1
273,130,2138,1
274,130,3409,1
275,130,1148,1
276,131,477,1
277,131,1061,1
278,131,705,1
279,132,1074,1
280,132,2823,1
281,132,632,1
282,133,1920,1
283,133,3982,1
284,133,2786,1
285,134,4827,1
286,134,4595,1
287,135,1509,1
288,135,1731,1
289,136,4840,1
290,137,4363,1
291,137,2456,1
292,137,844,1
293,138,3793,2
294,139,3862,1
295,139,822,1
296,139,667,1
297,140,1112,1
298,140,1564,1
299,141,2738,1
300,142,1043,1
301,143,852,1
302,143,459,1
303,144,2907,1
304,144,1152,1
305,144,3170,1
306,145,2311,1
307,146,3198,2
308,146,4387,1
309,146,2403,1
310,147,326,1
311,147,3222,1
312,147,234,1
313,148,3689,1
314,149,3254,1
315,149,522,1
316,149,4330,1
317,150,1885,1
318,151,1694,1
319,151,557,1
320,152,1829,1
321,152,2614,1
322,153,495,1
323,153,1575,1
324,153,2957,1
325,154,948,1
326,155,3874,1
327,156,4867,2
328,156,709,1
329,156,1799,1
330,157,779,1
331,158,4867,3
332,158,4503,1
333,158,2449,1
334,159,3086,1
335,160,2031,1
336,161,4540,1
337,161,2432,1
338,162,851,1
339,162,3540,1
340,162,3604,1
341,163,541,1
342,163,4210,1
343,163,4631,2
344,164,1744,1
345,164,160,1
346,165,4141,1
347,165,2935,1
348,166,4471,1
349,167,2827,1
350,168,3612,1
351,168,760,1
352,169,4716,1
353,169,4349,1
354,170,1139,1
355,170,2827,2
356,170,444,1
357,171,2805,1
358,172,3511,1
359,173,1973,2
360,173,442,1
361,174,4416,1
362,174,1332,1
363,175,31,1
364,175,3556,1
365,176,4374,1
366,176,3210,1
367,176,328,2
368,177,1482,1
369,178,1765,1
370,179,1559,1
371,180,4456,1
372,181,3445,1
373,182,2521,1
374,182,2171,1
375,182,2510,1
376,183,4694,1
377,184,1258,1
378,184,2050,1
379,184,1785,1
380,185,4738,1
381,185,1384,2
382,186,3234,1
383,187,4965,1
384,188,1274,1
385,189,4782,1
386,189,3307,1
387,190,4240,1
388,191,4187,1
389,191,1778,1
390,192,4541,1
