ISBN,title,publication_year,description_id
0195153448,Journey Through Heartsongs,2001,1
0002005018,In Search of Melancholy Baby,1987,2
0060973129,The Dieter's Guide to Weight Loss During Sex,1978,3
0374157065,Germs : Biological Weapons and America's Secret War,2001,4
0393045218,The Good Book: Reading the Bible with Mind and Heart,1998,5
0399135782,All over but the Shoutin',1998,6
0425176428,Hill Rat: Blowing the Lid Off Congress,1992,7
0671870432,Personality of the Cat,1978,8
0679425608,Betrayal : How the Clinton Administration Undermined American Security,1999,9
074322678X,Shadow Song,1994,10
0771074670,Codebreakers' Victory: How the Allied Cryptogaphers Won World War II,2003,11
080652121X,Best New American Voices 2003,2002,12
0887841740,Meditations: On the Monk Who Dwells in Daily Life,1994,13
1552041778,Jackie by Josie: A Novel,1998,14
1558746218,Joshua and the City,1995,15
1567407781,The Book of Courtly Love: The Passionate Code of the Troubadours,1994,16
1575663937,How Good Do We Have to Be? A New Understanding of Guilt and Forgiveness,1997,17
1881320189,Written by Herself: Autobiographies of American Women: An Anthology,1992,18
0440234743,George Meany And His Times: A Biography,1982,19
0452264464,American Dreams: Lost & Found,1980,20
0609804618,"Love, Love, and Love",1993,21
1841721522,Conflicting Accounts: The Creation and Crash of the Saatchi and Saatchi Advertising Empire,1998,22
1879384493,Panic Disorder and Its Treatment (Medical Psychiatry Series),1998,23
0061076031,Henry VIII (English Monarchs Series),1972,24
0439095026,The Moral Intelligence of Children,1997,25
0689821166,Life at the Edge: Readings from Scientific American Magazine,1989,26
0971880107,Becoming Soul Mates: Cultivating Spiritual Intimacy in the Early Years of Marriage,1995,27
0345402871,Care of the Soul : A Guide for Cultivating Depth and Sacredness in Everyday Life,1994,28
0345417623,Inside the Tornado: Marketing Strategies from Silicon Valley's Cutting Edge,1995,29
0684823802,Sunset at Rosalie: A Novel,1996,30
0375759778,"The Girlfriends' Guide to Surviving the First Year of Motherhood, Packaging May Vary",1997,31
0425163091,"Sherlock Holmes and the Red Demon by John H. Watson, M.D.",1996,32
3404921038,"New Lands, New Men",1986,33
3442353866,Reinventing Government: How the Entrepreneurial Spirit is Transforming the Public Sector (Plume),1993,34
3442410665,Proverbs For The People,2003,35
3442446937,Re-Inventing the Corporation: Transforming Your Job and Your Company for the New Information Society,1985,36
0375406328,Elvis in the Morning,2002,37
0446310786,"Fat Free, Flavor Full: Dr. Gabe Mirkin's Guide to Losing Weight and Living Longer",1995,38
0449005615,ON THE WING: The Life of Birds: From Feathers to Flight,1989,39
0060168013,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,2003,40
038078243X,"Trust Me, Mom-Everyone Else Is Going!: The New Rules for Mothering Adolescent Girls",2003,41
055321215X,The Quotable Ronald Reagan,1999,42
067176537X,Leadership Is an Art,1990,43
0061099686,Dark Fields of the Republic: Poems 1991-1995,1995,44
0553582909,Creating an Inclusive School,1995,45
0671888587,Edit Yourself : A manual for everyone who works with words,1985,46
0553582747,North Carolina Ghosts and Legends,1991,47
0425182908,Balkan Odyssey a personal account of the international peace efforts following the breakup of the former Yugoslavia,1996,48
042518630X,Straight Talk about Death for Teenagers: How to Cope with Losing Someone You Love,1993,49
0440223571,Understanding Thomas Jefferson,2002,50
0812523873,"Hey Mom! I'm Hungry!: Great-Tasting, Low-Fat, Easy Recipes to Feed Your Family",1997,51
0842342702,Going the Other Way: Lessons from a Life In and Out of Major League Baseball,2004,52
0440225701,Majendie's Cat,1986,53
0060914068,Best Friends: The True Story of the World's Most Beloved Animal Sanctuary,2001,54
0156047624,Joshua: A Parable for Today,1987,55
0245542957,The Spiritual Life of Children,1991,56
0380715899,Constancia and Other Stories for Virgins,1990,57
0553280333,Listening to Prozac: A Psychiatrist Explores Antidepressant Drugs and the Remaking of the Self,1993,58
0961769947,Life Stories,2000,59
0964778319,Remembering Main Street: An American Album,1994,60
0671623249,"Fight Fat After Forty: The Revolutionary Three-Pronged Approach That Will Break Your Stress-Fat Cycle and Make You Healthy, Fit, and Trim for Life",2001,61
0679810307,The Golden Christmas Tree,1988,62
0679865691,The Age of Uncertainty,1977,63
2070423204,Global Literacies: Lessons on Business Leadership and National Cultures,2000,64
0345260317,Trailside Guide: Fly Fishing,1996,65
0394743741,I Wish I Had a Red Dress,2001,66
042511774X,The Visitation,1997,67
0804106304,Reengineering the Corporation,1999,68
1853262404,The Man's Health Sourcebook,1996,69
0312970242,Chinese Roundabout: Essays in History and Culture,1993,70
1853260053,Shackleton's Boat Journey,1987,71
1414035004,An Atlas of the Difficult World: Poems 1988-1991,1991,72
0060938412,Are You Considering Psychoanalysis?,1962,73
0140067477,Daughter of Regals & Other Tales,1984,74
0345465083,Get Thee To a Punnery,1988,75
0451625889,Too Young to Retire: 101 Ways To Start The Rest of Your Life,2004,76
1558531025,Zillionaire's Daughter,1989,77
0441783589,Ireland's Women: Writings Past and Present,1996,78
0394895894,Currier and Ives Four Seasons Cookbook,1991,79
1569871213,Testimonies: A Novel,1995,80
0375410538,How to Become a Successful Consultant in Your Own Field,1989,81
0966986105,Mother of Pearl,1999,82
087113375X,Icons,1990,83
0340767936,Kirkpatrick Mission (Diplomacy Wo Apology Ame at the United Nations 1981 to 85,1991,84
0743403843,Deployment: Hiding Behind Power Struggles as a Character Defense (Psychoanalytic Therapy Series),1994,85
0060930365,The Final Days,1976,86
0060177586,James Herriot: The Life of a Country Vet,1997,87
0071416331,The Lisle Letters: An Abridgement,1983,88
0375509038,WORDS FOR EVERYDAY ANIMALS (Words for Everyday),1995,89
0553062042,"Three Essays: On Liberty, Representative Government, The Subjection of Women",1976,90
0316769487,Joshua and the Children: A Parable,1991,91
8445071408,Red Square,1992,92
8445071769,The New Building Your Mate's Self-Esteem,1995,93
8445071777,"The Abuse Excuse: And Other Cop-Outs, Sob Stories, and Evasions of Responsibility",1994,94
0679429220,The Pharaohs of Ancient Egypt (Megascope Series),1998,95
0671867156,Life and Death in Shanghai,1988,96
0312252617,All Around The Town,1992,97
0312261594,New World Visions of Household Gods and Sacred Places: American Art and the Metropolitan Museum of Art 1650-1914,1988,98
0316748641,Orchids as House Plants,1976,99
0316973742,"The Experience of Opera (Norton Library, N706)",1973,100
0385235941,Horsewatching: Why does a horse whinny and everything else you ever wanted to know,1989,101
0446677450,Linda Mccartney's Home Cooking,1992,102
0451166892,Ghost Light: A Memoir,2001,103
0553347594,The Sands of Time: A Hermux Tantamoq Adventure,2002,104
0671621009,Murder at the Pentagon,1992,105
067976397X,The Goomba's Book of Love,2003,106
0684822733,Stanley Elkin's Greatest Hits,1980,107
0786868716,Griffin & Sabine: An Extraordinary Correspondence,1991,108
8472238822,"Wine in Everyday Cooking: ""Cooking with Wine for Family and Friends""",1995,109
0671864769,How To Live Through A Bad Day: 7 Powerful Insights From Christ's Words on the Cross,2001,110
0671521519,The 27-Ingredient Chili Con Carne Murders,1992,111
0440222303,Looking for Alaska,2001,112
0312953453,Give Us This Day,1987,113
0446608653,Crossing Over Jordan,1995,114
0446612545,When Birds Could Talk And Bats Could Sing,1996,115
0446612618,Crooked Hearts,1987,116
0451208080,You Know You're A Republican/Democrat If...,2004,117
0553584383,The Silence Now: New and Uncollected Early Poems,1990,118
0671027360,Stories In An Almost Classical Mode,1988,119
0812575954,Parenting Isn't for Cowards: Dealing Confidently With the Frustrations of Child-Rearing,1987,120
0316735736,The Seacoast of Bohemia,1995,121
0743439740,The Catholic Girl's Guide to Sex,2003,122
0345372700,In the Shadow of the Ark,2004,123
0380619458,The Supernaturalist,2004,124
0446325805,U and I: A True Story,1991,125
0451406923,Zero Db and Other Stories,1987,126
0671042858,A Shaker's Dozen,1999,127
0743249992,Personal History,1997,128
0840734530,Friendship with God: an uncommon dialogue,1999,129
0425184226,13 Things You Gotta Know to Make it as a Christian (Powerlink Student Devotional),1992,130
0375500766,Dave Barry's Guide to Marriage and/or Sex,2000,131
9724119378,The Festival Cookbook: Four Seasons of Favorites,2013,132
0451205197,Shella,1993,133
0060929790,What To Cook When You Think There's Nothing in the House To Eat: More Than 175 Easy Recipes And Meal Ideas,2000,134
0060976845,Little Vegetarian Feasts: Main-Dish Grains,1993,135
0061099325,Collected Stories of Reynolds Price,1993,136
0671004573,DIY Girl,2003,137
0446601640,What's Bred in the Bone (Cornish Trilogy),1985,138
0330484516,Mastering the Zone: The Next Step in Achieving SuperHealth and Permanent Fat Loss,1997,139
038572179X,Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle),1995,140
0393020371,Napoleon and Hitler,1989,141
1900850303,Too Busy to Clean,1994,142
1903019699,Vines (Burpee American Gardening Series),1995,143
0345425294,"Walking the Cat by Tommy "" Tip"" Paine: Gordon Liddy Is My Muse II",1991,144
0451410319,Mistler's Exit,1998,145
0553583468,Small Patchwork & Quilting,1993,146
8420639133,The Whole Shebang: A State-of-the-Universe(s) Report,1997,147
8476409419,Eating Well for Optimum Health: The Essential Guide to Bringing Health and Pleasure Back to Eating,2001,148
0380778556,Teverton Hall,1984,149
0451525221,Lines in the Sand: Desert Storm and the Remaking of the Arab World,1992,150
0002740230,The Witling,1986,151
0385336772,The Courage to Be Rich: Creating a Life of Material and Spiritual Abundance,1999,152
0440949424,Our Nature,1987,153
0505524996,The Gift of Sex: A Guide to Sexual Fulfillment,1981,154
0140252800,Basic Principles of Classical Ballet,1969,155
0451452755,The Biblical Road to Blessing,1996,156
0812575482,Peanuts: A Golden Celebration: The Art and the Story of the World's Best-Loved Comic Strip,1999,157
044651747X,The Language of Life: A Festival of Poets,1995,158
0060801263,The Shutterfly Guide to Great Digital Photos (CLS.EDUCATION),2008,159
