copy_id,status,condition,price,ISBN
1,Checked Out,New,137.64,1579213405
2,Available,New,134.81,0876850867
3,Available,Poor,122.53,006019491X
4,Available,New,112.82,0380706725
5,Available,Poor,99.48,0380709260
6,Available,Good,131.43,0449207463
7,Available,Good,108.49,0375700382
8,Checked Out,Good,49.16,1590521994
9,Checked Out,Good,121.57,0671623249
10,Available,Good,140.4,080652121X
11,Available,Good,130.53,0670031046
12,Checked Out,Good,80.3,0002005018
13,Checked Out,Good,21.91,0380730448
14,Available,Good,114.45,0375501347
15,Checked Out,Fair,77.13,0812970101
16,Available,Fair,138.78,0486401464
17,Available,Good,64.84,0399138684
18,Available,Good,74.9,1895383129
19,Available,Poor,89.16,0064472264
20,Available,New,68.79,0380754843
21,Available,Poor,42.52,3478088534
22,Checked Out,Fair,62.66,0099244926
23,Available,New,61.75,0451188209
24,Available,Fair,117.55,0441003257
25,Checked Out,Poor,116.81,0385247745
26,Checked Out,Poor,47.83,0449221164
27,Checked Out,Fair,133.77,052594463X
28,Available,Good,40.88,0399501487
29,Available,New,25.08,3125918103
30,Available,Good,88.84,0486280616
31,Available,Poor,41.13,0440234824
32,Available,Good,120.76,0425120279
33,Available,New,46.75,0061012289
34,Available,Fair,48.75,0553258540
35,Available,Good,67.59,0340649763
36,Available,New,46.75,8466302263
37,Available,New,37.44,0415907411
38,Checked Out,Fair,67.33,0373750013
39,Checked Out,New,104.52,1578562333
40,Available,Poor,37.38,0373092237
41,Checked Out,New,130.52,0440512158
42,Available,New,92.29,0380813815
43,Available,Good,77.25,0345342968
44,Checked Out,Fair,67.22,0786015276
45,Available,Poor,96.6,8489618844
46,Available,Poor,126.05,0440177499
47,Available,New,82.43,0449213773
48,Available,Poor,105.72,0375704000
49,Available,Fair,54.44,0446605484
50,Checked Out,New,25.29,055326396X
51,Checked Out,Fair,72.03,0749748028
52,Checked Out,Fair,85.35,038039586X
53,Checked Out,Good,119.16,1888740051
54,Available,Poor,142.68,0152162577
55,Checked Out,Fair,68.1,1558747478
56,Available,Good,79.55,1558612815
57,Available,Good,45.8,0786886463
58,Checked Out,Good,145.89,0679457313
59,Checked Out,Fair,74.11,0345402871
60,Checked Out,Poor,96.11,2743606789
61,Available,Good,81.44,0060242388
62,Checked Out,Poor,116.98,0385337132
63,Checked Out,Fair,66.28,1576737357
64,Checked Out,Poor,113.84,1414035004
65,Available,Fair,75.11,0965624773
66,Available,Poor,143.81,000636988X
67,Available,Good,60.61,0061000175
68,Available,New,39.94,0671867113
69,Available,Poor,82.68,0380538504
70,Checked Out,New,61.32,0380715899
71,Checked Out,Fair,135.21,0440236703
72,Checked Out,Fair,109.3,0551031123
73,Available,Poor,141.33,0373242328
74,Available,Poor,111.12,068815252X
75,Available,New,84.18,0718144538
76,Checked Out,New,115.38,0316136778
77,Available,Poor,114.13,0061080519
78,Available,Poor,90.69,015216250X
79,Available,Fair,108.56,0689715625
80,Checked Out,Fair,94.27,0743444167
81,Checked Out,Good,115.96,067175145X
82,Available,Fair,74.42,0571197639
83,Available,Poor,53.32,074141127X
84,Available,Good,23.15,1561706213
85,Available,Good,37.67,020530902X
86,Checked Out,Good,79.85,0140298479
87,Available,Fair,28.84,0743237188
88,Checked Out,Fair,61.73,0671042262
89,Available,Poor,135.12,0399137807
90,Checked Out,Fair,86.29,0553256696
91,Checked Out,New,56.54,0425162788
92,Available,Poor,39.41,0812550706
93,Checked Out,Poor,40.39,0962893862
94,Checked Out,Poor,52.4,0786889160
95,Checked Out,Poor,49.11,0486415864
96,Available,Good,49.86,0446531332
97,Available,Good,128.01,843760494X
98,Checked Out,New,108.81,0871137631
99,Checked Out,Fair,96.01,0767910079
100,Available,Good,142.8,0552996009
101,Available,Poor,52.42,034543076X
102,Available,Fair,30.47,0385324057
103,Checked Out,Good,137.62,0670894494
104,Checked Out,Good,38.53,067976397X
105,Checked Out,New,112.31,0679450548
106,Checked Out,Fair,124.9,1853260673
107,Available,New,103.47,0425179672
108,Checked Out,Good,70.05,0061030147
109,Available,Fair,66.81,0312145543
110,Checked Out,New,140.81,0593043995
111,Available,Fair,41.05,0451163753
112,Available,Good,141.12,1888698357
113,Available,New,59.79,0312314256
114,Available,Poor,102.26,0551032510
115,Available,Good,40.2,0440219604
116,Checked Out,Fair,63.6,0679745645
117,Checked Out,New,140.38,0452281784
118,Available,Fair,31.8,0786866462
119,Available,Fair,79.1,0440226104
120,Available,New,51.09,0517573822
121,Available,New,143.18,080411952X
122,Checked Out,Poor,141.97,0345347536
123,Available,Good,126.27,0451523318
124,Available,Poor,97.22,0060970790
125,Checked Out,Good,64.91,0345436911
126,Checked Out,Fair,39.75,0849943728
127,Available,New,71.83,0451163753
128,Available,Fair,127.32,0312251890
129,Checked Out,Fair,70.24,0472113658
130,Available,Good,117.91,0446519960
131,Available,New,93.05,0552999512
132,Available,Fair,26.2,0767908473
133,Available,Poor,69.59,0871137380
134,Available,Good,38.01,038542471X
135,Available,Good,84.41,0385324057
136,Checked Out,Fair,78.74,1857938011
137,Checked Out,Poor,141.14,0451202341
138,Available,Poor,102.14,0877192820
139,Available,Good,112.01,0553583468
140,Available,Fair,118.29,0843943769
141,Available,Fair,46.03,0156013967
142,Available,Fair,96.57,8489618844
143,Checked Out,Good,64.83,0399147012
144,Available,Poor,107.51,006093395X
145,Available,Good,130.47,0812923278
146,Available,Poor,144.39,0140236589
147,Checked Out,New,102.81,006101253X
148,Available,Poor,98.87,0679459626
149,Available,Fair,39.37,0843943769
150,Available,Good,86.17,1895857058
151,Checked Out,New,142.98,0553280333
152,Available,Good,98.65,3492207006
153,Available,Good,88.23,0440236703
154,Available,New,26.15,0394742591
155,Available,New,64.84,0440222818
156,Available,Good,61.93,0679721819
157,Checked Out,Fair,75.79,0151000638
158,Checked Out,Good,105.91,0373711123
159,Checked Out,New,115.54,0380012863
160,Checked Out,Fair,117.49,0345348109
161,Checked Out,New,146.56,0006550789
162,Available,Fair,124.48,0842342702
163,Checked Out,Poor,144.83,0671744003
164,Available,New,86.21,0451203046
165,Checked Out,Fair,90.56,0373058446
166,Checked Out,Poor,39.24,0821724231
167,Available,Good,79.14,0375726403
168,Available,Poor,123.3,0062517856
169,Checked Out,New,146.57,3499177757
170,Checked Out,Fair,126.5,0451409256
171,Checked Out,Fair,131.12,1590520777
172,Checked Out,Good,46.64,034543191X
173,Checked Out,Fair,50.28,0060922532
174,Available,Poor,67.48,0071416331
175,Available,Good,74.74,0452277337
176,Checked Out,Good,96.22,0440224608
177,Available,Fair,88.5,0140256369
178,Available,Poor,57.22,0451130448
179,Available,Poor,53.54,0880387300
180,Available,Fair,41.37,0787955671
181,Available,New,20.85,0679729917
182,Available,New,125.38,0743444167
183,Checked Out,New,34.74,0785263780
184,Available,Fair,60.43,0515120863
185,Checked Out,New,118.86,2266033689
186,Checked Out,Good,36.69,0007100221
187,Available,Good,125.29,0671000381
188,Checked Out,Good,116.55,0915811898
189,Available,New,40.37,0446610178
190,Available,Fair,34.35,0425139069
191,Available,Fair,64.15,3499110695
192,Available,Poor,37.71,0446677574
193,Checked Out,Good,88.36,0394822862
194,Checked Out,New,115.06,0671676652
195,Available,Good,100.25,193072229X
196,Available,Fair,94.58,0452279690
197,Available,Good,129.34,0553282476
198,Available,Fair,135.0,038039586X
199,Available,Fair,110.43,037383232X
200,Available,Good,44.0,0743230051
201,Available,New,67.11,0553582933
202,Checked Out,Fair,20.63,0743202961
203,Checked Out,Fair,112.03,1842151053
204,Checked Out,Good,118.94,015600710X
205,Available,Poor,101.82,006017935X
206,Checked Out,New,129.93,0671868713
207,Available,New,106.45,0440225701
208,Available,New,97.66,0380558483
209,Available,Good,91.01,0671847546
210,Available,New,129.55,1573225487
211,Checked Out,Fair,100.07,0060575808
212,Checked Out,New,101.84,0884092119
213,Checked Out,New,98.18,0312156960
214,Checked Out,New,74.09,0895773538
215,Checked Out,Good,80.03,0553280589
216,Available,Good,26.53,0451410319
217,Available,Poor,49.32,0375500766
218,Checked Out,Fair,72.08,0446604801
219,Checked Out,Fair,133.67,0307132668
220,Available,Poor,130.32,8401427177
221,Checked Out,Fair,101.37,0375509038
222,Checked Out,New,117.94,1569871213
223,Available,New,112.27,0553343874
224,Checked Out,Fair,75.35,0425172554
225,Checked Out,Poor,115.23,0553062042
226,Available,Good,92.44,0883659654
227,Available,Fair,47.83,0767903579
228,Available,New,126.36,8474103347
229,Checked Out,Good,118.9,0316168815
230,Available,Fair,129.68,0425159795
231,Checked Out,New,61.47,0380717085
232,Available,New,77.36,0451163753
233,Checked Out,Fair,108.06,1563899388
234,Available,Poor,53.33,880781210X
235,Checked Out,Good,62.15,0553351702
236,Available,Poor,81.64,0440224039
237,Available,New,98.33,0451191153
238,Checked Out,Good,147.99,0446605891
239,Available,Good,119.16,0517201658
240,Available,Fair,128.35,0806514094
241,Available,Poor,103.07,0345443683
242,Checked Out,Good,93.38,044651747X
243,Available,Good,81.25,0373273193
244,Available,Fair,83.33,034538184X
245,Available,Good,55.67,006093395X
246,Checked Out,Good,72.92,0440234964
247,Checked Out,Fair,55.86,1558744606
248,Available,Poor,55.23,1572241381
249,Checked Out,New,134.64,0340697687
250,Available,Poor,123.07,0553573977
251,Available,Poor,48.55,0609608444
252,Checked Out,Poor,140.57,030720152X
253,Available,New,107.94,0778800229
254,Available,New,119.13,0312958455
255,Available,New,36.34,0345370740
256,Available,New,32.11,0375707972
257,Available,Fair,119.21,0821728326
258,Checked Out,Good,58.8,0140286276
259,Available,New,107.71,0451204050
260,Checked Out,Fair,138.55,0316769487
261,Checked Out,Good,137.76,1853260312
262,Checked Out,Good,29.75,0451184718
263,Available,Fair,100.61,0373691157
264,Checked Out,New,101.18,0061093106
265,Checked Out,Poor,117.48,2070363104
266,Available,Fair,44.34,0425169626
267,Available,New,119.78,0373057296
268,Available,Fair,104.95,0679745653
269,Available,Good,80.78,0375704558
270,Available,Poor,126.46,0380014300
271,Available,New,113.11,2253004898
272,Available,Good,83.8,1573225487
273,Checked Out,New,104.94,014056232X
274,Checked Out,Good,128.02,1558747478
275,Checked Out,Good,120.97,014056232X
276,Checked Out,New,130.43,0312990456
277,Checked Out,Fair,43.21,0380727501
278,Available,New,54.54,9679787834
279,Available,Fair,43.29,0330357808
280,Available,Fair,98.77,0060930365
281,Available,Poor,86.21,0486243451
282,Checked Out,Fair,29.08,0131554255
283,Checked Out,Fair,76.42,1880185008
284,Checked Out,New,98.98,0440226694
285,Available,Fair,72.9,0380752115
286,Available,New,91.87,073520313X
287,Available,New,29.14,0785263292
288,Available,Poor,112.73,0884043142
289,Checked Out,Good,34.45,0312983212
290,Available,Poor,121.26,0380710005
291,Checked Out,Good,98.04,0375751513
292,Available,Good,109.23,0679748083
293,Checked Out,Fair,40.07,0821728326
294,Checked Out,Poor,77.12,0842336214
295,Available,Fair,25.83,0140345809
296,Available,Poor,140.87,0091850401
297,Checked Out,New,89.18,3407805853
298,Checked Out,Good,132.81,0091880955
299,Available,New,60.67,0312156960
300,Checked Out,Poor,52.31,0451181468
