reservation_id,copy_id,position_in_queue
1,1853,1
1,4810,1
2,1215,1
2,3446,1
3,1977,1
3,3521,1
3,2599,1
4,489,1
4,3735,1
4,4484,1
5,2768,1
6,264,1
6,1624,1
7,2066,1
7,3237,1
8,4742,1
9,4173,1
9,1061,1
10,2062,1
11,4383,1
12,3289,1
12,4224,1
12,4722,1
13,2646,1
13,2241,1
13,2994,1
14,970,1
15,3576,1
16,2199,1
16,2506,1
17,2954,1
18,808,1
19,2425,1
19,1250,1
19,4742,2
20,612,1
21,4214,1
21,1101,1
21,2973,1
22,3682,1
22,304,1
22,1448,1
23,774,1
23,3192,1
23,1233,1
24,2931,1
25,1849,1
25,1791,1
25,4494,1
26,3167,1
26,3978,1
26,4180,1
27,2495,1
28,1030,1
28,979,1
28,2490,1
29,4702,1
29,1381,1
29,1982,1
30,1881,1
31,2389,1
32,1660,1
32,1589,1
33,4701,1
34,4513,1
35,2094,1
35,3952,1
36,741,1
36,2116,1
37,4785,1
37,4693,1
37,2515,1
38,4946,1
38,4066,1
38,4210,1
39,4691,1
39,3613,1
39,3677,1
40,279,1
40,4451,1
40,4890,1
41,4900,1
41,4009,1
42,3142,1
42,3781,1
42,2793,1
43,4603,1
44,3930,1
45,1184,1
45,2491,1
46,2116,2
46,4737,1
47,3311,1
47,4004,1
48,8,1
49,4202,1
49,3936,1
50,4876,1
50,1549,1
51,1524,1
52,4367,1
53,2334,1
53,3260,1
54,3534,1
54,2347,1
55,827,1
56,3055,1
56,4269,1
57,1205,1
57,4552,1
57,2577,1
58,4981,1
59,4775,1
60,218,1
61,1240,1
62,1882,1
63,3250,1
63,1197,1
64,807,1
64,2323,1
65,329,1
65,292,1
65,988,1
66,4614,1
66,4818,1
67,4446,1
67,3778,1
68,3630,1
68,4296,1
69,2911,1
69,297,1
70,3146,1
71,2094,2
71,2614,1
72,2694,1
73,3704,1
73,488,1
73,239,1
74,4492,1
74,443,1
75,323,1
76,477,1
76,3723,1
76,824,1
77,711,1
77,1540,1
78,3075,1
78,2447,1
78,4286,1
79,3210,1
79,1133,1
79,1689,1
80,4445,1
80,574,1
80,2230,1
81,775,1
82,2757,1
83,1663,1
83,3675,1
84,4182,1
84,2754,1
85,1589,2
85,400,1
85,3752,1
86,4950,1
86,2298,1
87,2755,1
87,3431,1
87,475,1
88,3932,1
88,2097,1
88,687,1
89,4846,1
90,654,1
90,416,1
91,1645,1
91,4304,1
92,3440,1
92,298,1
93,3764,1
93,4035,1
94,1702,1
95,3213,1
95,3340,1
95,878,1
96,781,1
96,3817,1
97,2225,1
98,1006,1
99,4053,1
99,4640,1
100,3731,1
100,1211,1
100,1899,1
101,847,1
101,311,1
102,2005,1
103,2519,1
103,3775,1
104,56,1
105,3537,1
106,2590,1
106,3565,1
107,4970,1
108,4827,1
109,3617,1
109,3601,1
109,4082,1
110,1626,1
110,4825,1
110,662,1
111,3027,1
111,2064,1
112,2916,1
113,2918,1
114,554,1
115,2240,1
115,4223,1
115,658,1
116,2816,1
117,2977,1
118,2861,1
119,592,1
120,1133,2
121,668,1
121,3768,1
121,3180,1
122,144,1
122,366,1
122,3274,1
123,2745,1
123,636,1
124,3829,1
124,1154,1
125,4015,1
126,4527,1
127,98,1
127,4658,1
128,434,1
129,4730,1
129,4375,1
130,3064,1
131,2138,1
131,802,1
131,1144,1
132,872,1
132,1227,1
133,3118,1
133,2697,1
134,2644,1
134,2397,1
135,183,1
136,4752,1
137,4111,1
138,3522,1
138,1551,1
138,4565,1
139,4976,1
139,3489,1
140,4168,1
141,2083,1
141,3316,1
142,4422,1
142,2256,1
142,3090,1
143,2361,1
144,383,1
144,1147,1
144,4385,1
145,548,1
146,5,1
146,1383,1
146,406,1
147,2595,1
147,4684,1
147,3086,1
148,2153,1
149,2406,1
149,2224,1
150,596,1
151,3116,1
152,1968,1
152,3059,1
152,3197,1
153,3113,1
153,1126,1
153,4834,1
154,458,1
154,3807,1
154,4148,1
155,4364,1
155,1964,1
155,3913,1
156,4656,1
156,657,1
157,3705,1
157,2013,1
157,4256,1
158,4898,1
158,4332,1
158,1845,1
159,4944,1
159,1416,1
159,3905,1
160,2935,1
160,4763,1
161,653,1
161,2961,1
162,3815,1
162,3713,1
163,3435,1
164,4925,1
164,2348,1
165,3788,1
165,1422,1
165,4497,1
166,662,2
166,3189,1
166,3783,1
167,3166,1
167,2874,1
167,4544,1
168,4723,1
168,1853,2
169,3697,1
170,3023,1
170,1267,1
170,1014,1
171,3873,1
172,1568,1
173,3886,1
173,3685,1
173,2368,1
174,2592,1
174,2173,1
175,3431,2
175,532,1
175,2345,1
176,1731,1
176,3672,1
176,3481,1
177,738,1
178,4848,1
179,1925,1
179,756,1
180,3885,1
180,941,1
180,3999,1
181,1597,1
181,333,1
181,2317,1
182,3378,1
183,4414,1
183,4622,1
183,4333,1
184,3349,1
184,2080,1
184,1048,1
185,2479,1
185,2447,2
185,629,1
186,702,1
186,4988,1
186,1873,1
187,3570,1
188,2188,1
188,1462,1
189,1781,1
189,2450,1
189,2599,2
190,543,1
190,1785,1
190,3792,1
191,3125,1
191,3126,1
192,701,1
192,3830,1
193,2014,1
194,117,1
195,3280,1
195,160,1
195,3235,1
196,836,1
196,4948,1
196,2442,1
197,3533,1
197,4017,1
198,3671,1
198,1432,1
198,4531,1
199,2656,1
199,2032,1
199,3408,1
200,1879,1
200,441,1
200,3586,1
201,994,1
201,2231,1
202,504,1
202,271,1
202,1338,1
203,3864,1
203,2789,1
204,4693,2
205,720,1
205,1234,1
206,3901,1
206,2413,1
207,1799,1
207,2133,1
208,2468,1
209,4910,1
209,1035,1
209,3545,1
210,1160,1
210,1088,1
210,1544,1
211,48,1
211,11,1
